"sector","trailingPE","sharesPercentSharesOut","regularMarketVolume","averageVolume10days","enterpriseToEbitda","earningsQuarterlyGrowth","longBusinessSummary","logo_url","profitMargins","priceToSalesTrailing12Months","payoutRatio","country","industry","marketCap","bookValue","trailingEps","dividendRate","priceToBook","beta"
"Technology","10.334088","0.0143","11900380","6958450","5.684","-0.377","HP Inc., together with its subsidiaries, provides personal computing and other access devices, imaging and printing products, and related technologies, solutions, and services in the United States and internationally. The company operates through three segments: Personal Systems, Printing, and Corporate Investments. The Personal Systems segment offers commercial and consumer desktop and notebook personal computers, workstations, thin clients, commercial mobility devices, retail point-of-sale systems, displays and other related accessories, software, support, and services. The Printing segment provides consumer and commercial printer hardware, supplies, solutions, and services, as well as scanning devices. The Corporate Investments segment includes HP Labs and business incubation projects. It serves individual consumers, small- and medium-sized businesses, and large enterprises, including customers in the government, health, and education sectors. The company was formerly known as Hewlett-Packard Company and changed its name to HP Inc. in October 2015. HP Inc. was founded in 1939 and is headquartered in Palo Alto, California.","https://logo.clearbit.com/hp.com","0.045149997","0.44140267","0.387","United States","Computer Hardware","25066375168","-1.446","1.766","0.7","","1.004964"
"Consumer Cyclical","15.458367","0.1091","2893314","2894616","7.055","","H&R Block, Inc., through its subsidiaries, provides assisted income tax return preparation, do-it-yourself (DIY) tax, and virtual tax preparation services and products to the general public primarily in the United States, Canada, and Australia. The company offers assisted income tax return preparation and related services through a system of retail offices operated directly by the company or by franchisees. It also develops and markets DIY income tax preparation software online, as well as through third-party retail stores and direct mail; and provides DIY tax services, including federal and state income tax returns, access to tax tips, advice and tax-related news, use of calculators for tax planning, and error checking and electronic filing. In addition, the company offers Refund Transfers and H&R Block Emerald Prepaid Mastercard, which enables clients to receive their tax refunds; Peace of Mind extended service plans; H&R Block Emerald Advance lines of credit; Tax Identity Shield that provides clients assistance in helping protect their tax identity and access to services to help restore their tax identity; refund advance loans; H&R Block Instant Refund; and H&R Block Pay With Refund services. Further, it provides small business financial solutions through its company-owned or franchise offices, and online. H&R Block, Inc. was founded in 1955 and is headquartered in Kansas City, Missouri.","https://logo.clearbit.com/hrblock.com","0.07571","1.1472557","0.84550005","United States","Personal Services","3545465088","0.701","1.189","1.04","26.219687","0.774407"
"Consumer Defensive","29.088236","0.0469","1287688","1251666","20.228","0.018","Hormel Foods Corporation produces and markets various meat and food products to retail, foodservice, deli, and commercial customers in the United States and internationally. The company operates through four segments: Grocery Products, Refrigerated Foods, Jennie-O Turkey Store, and International & Other. It offers various perishable meat products, including fresh meats, frozen items, refrigerated meal solutions, sausages, hams, guacamoles, and bacons; and shelf-stable products, such as canned luncheon meats, peanut butters, chilies, shelf-stable microwaveable meals, hashes, stews, meat spreads, flour and corn tortillas, salsas, tortilla chips, and other products. The company also provides turkey products; nutritional food products and supplements; dessert and drink mixes; and industrial gelatin products. It sells its products under the SKIPPY, SPAM, Hormel, Natural Choice, Applegate, Justin's, Wholly, Hormel, Black Label, Columbus, etc. brand names through sales personnel, as well as through independent brokers and distributors. The company was formerly known as Geo. A. Hormel & Company and changed its name to Hormel Foods Corporation in January 1995. Hormel Foods Corporation was founded in 1891 and is headquartered in Austin, Minnesota.","https://logo.clearbit.com/hormelfoods.com","0.0959","2.753764","0.5338","United States","Packaged Foods","26683615232","11.62","1.7","0.93","4.255594","-0.015444"
"Healthcare","16.462336","0.0497","1140178","1009883","15.14","","Henry Schein, Inc., a solutions company for health care professionals, provides health care products and services to office-based dental practitioners and laboratories, physician practices, government, institutional health care clinics, and other alternate care clinics worldwide. It operates in two segments, Health Care Distribution, and Technology and Value-Added Services. The Health Care Distribution segment offers dental products, including infection-control products, handpieces, preventatives, impression materials, composites, anesthetics, teeth, dental implants, gypsum, acrylics, articulators, abrasives, dental chairs, delivery units and lights, X-ray supplies and equipment, and high-tech and digital restoration equipment, as well as equipment repair services. This segment also provides medical products comprising branded and generic pharmaceuticals, vaccines, surgical products, diagnostic tests, infection-control products, X-ray products, equipment, and vitamins. The Technology and Value-Added Services segment offers software, technology, and other value-added services that include practice management software systems for dental and medical practitioners. This segment also provides value-added practice solutions, which comprise financial services on a non-recourse basis, e-services, practice technology, network, and hardware services, as well as continuing education services for practitioners. Henry Schein, Inc. was founded in 1932 and is headquartered in Melville, New York.","https://logo.clearbit.com/henryschein.com","0.06349","1.0275447","","United States","Medical Distribution","9546896384","20.999","4.062","","3.1844375","0.964147"
"Consumer Defensive","28.219177","0.0099","602943","529050","18.083","-0.14","The Hershey Company, together with its subsidiaries, manufactures and sells confectionery products. The company operates through two segments, North America; and International and Other. It offers chocolate and non-chocolate confectionery products; gum and mint refreshment products comprising mints, chewing gums, and bubble gums; pantry items, such as baking ingredients, toppings, beverages, and sundae syrups; and snack items, including spreads, meat snacks, bars and snack bites, mixes, popcorn and protein bars, and cookies. The company provides its products primarily under the Hershey's, Reese's, Kisses, Jolly Rancher, Almond Joy, Brookside, barkTHINS, Cadbury, Good & Plenty, Heath, Kit Kat, Lancaster, Payday, Rolo, Twizzlers, Whoppers, York, Scharffen Berger, Dagoba, Ice Breakers, Breathsavers, Bubble Yum, SkinnyPop, Pirate's Booty, Oatmega, Paqui, ONE, and Krave brands, as well as under the Pelon Pelo Rico, IO-IO, Nutrine, Maha Lacto, Jumpin, and Sofit brands. It markets and sells its products to wholesale distributors, chain grocery stores, mass merchandisers, chain drug stores, vending companies, wholesale clubs, convenience stores, dollar stores, concessionaires, and department stores. The Hershey Company was founded in 1894 and is headquartered in Hershey, Pennsylvania.","https://logo.clearbit.com/thehersheycompany.com","0.13496","3.7745116","0.6051","United States","Confectioners","29996771328","8.432","5.11","3.22","17.101517","0.207391"
"Healthcare","16.56376","0.0128999995","370322","524150","9.064","0.945","Humana Inc., together with its subsidiaries, operates as a health and well-being company in the United States. It operates through Retail, Group and Specialty, and Healthcare Services segments. The company offers medical and supplemental benefit plans to individuals. It also has contract with Centers for Medicare and Medicaid Services to administer the Limited Income Newly Eligible Transition prescription drug plan program; and contracts with various states to provide Medicaid, dual eligible, and long-term support services benefits. In addition, the company provides commercial fully-insured medical and specialty health insurance benefits comprising dental, vision, and other supplemental health benefits; financial protection products; and administrative services only products to individuals and employer groups, as well as military services, such as TRICARE South Region contract. Further, it offers pharmacy solutions, provider services, predictive modeling and informatics services, and clinical care services, such as home health and other services to its health plan members, as well as to third parties. As of December 31, 2019, the company had approximately 17 million members in medical benefit plans, as well as approximately 5 million members in specialty products. Humana Inc. was founded in 1961 and is headquartered in Louisville, Kentucky.","https://logo.clearbit.com/humana.com","0.049629997","0.81589496","0.08930001","United States","Healthcare Plans","57564655616","108.971","26.27","2.5","3.9930809","0.875344"
"Technology","12.720472","0.024500001","7037974","9614183","9.863","0.016","International Business Machines Corporation operates as an integrated solutions and services company worldwide. Its Cloud & Cognitive Software segment offers software for vertical and domain-specific solutions in health, financial services, and Internet of Things (IoT), weather, and security software and services application areas; and customer information control system and storage, and analytics and integration software solutions to support client mission critical on-premise workloads in banking, airline, and retail industries. It also offers middleware and data platform software, including Red Hat, which enables the operation of clients' hybrid multi-cloud environments; and Cloud Paks, WebSphere distributed, and analytics platform software, such as DB2 distributed, information integration, and enterprise content management, as well as IoT, Blockchain and AI/Watson platforms. The company's Global Business Services segment offers business consulting services; system integration, application management, maintenance, and support services for packaged software; finance, procurement, talent and engagement, industry-specific business process outsourcing services; IT infrastructure and platform services. Its Global Technology Services segment provides project, managed, outsourcing, and cloud-delivered services for enterprise IT infrastructure environments; and IT infrastructure support services. It's Systems segment offers servers for businesses, cloud service providers, and scientific computing organizations; data storage products and solutions; and z/OS, an enterprise operating system, as well as Linux. Its Global Financing segment provides lease, installment payment, loan financing, short-term working capital financing, and remanufacturing and remarketing services. It was formerly known as Computing-Tabulating-Recording Co. and changed its name to International Business Machines Corporation in 1924. It was founded in 1911 and is headquartered in Armonk, New York.","https://logo.clearbit.com/ibm.com","0.105340004","1.3320109","0.7361","United States","Information Technology Services","99940777984","23.792","8.822","6.52","4.7167115","1.157198"
"Financial Services","25.280579","0.010199999","2482771","2207700","17.598","0.108","Intercontinental Exchange, Inc. operates regulated exchanges, clearing houses, and listings venues for commodity, financial, fixed income, and equity markets in the United States, the United Kingdom, European Union, Singapore, Israel, and Canada. It operates in two segments, Trading and Clearing; and Data and Listings. The company operates marketplaces for listing, trading, and clearing an array of derivatives and securities contracts across various asset classes, including energy and agricultural commodities, metals, interest rates, equities, ETFs, credit derivatives, digital assets, bonds, and currencies, as well as offers mortgage and technology services. It also offers data services to support the trading, investment, risk management, and connectivity needs of customers across major asset classes. The company operates exchanges and marketplaces; cash equities, equity options, and bond exchanges; and over-the-counter markets for physical energy, fixed income, credit default swaps, and central counterparty clearing houses. Intercontinental Exchange, Inc. was founded in 2000 and is headquartered in Atlanta, Georgia.","https://logo.clearbit.com/intercontinentalexchange.com","0.38474998","9.818828","0.2972","United States","Financial Data & Stock Exchanges","54867607552","31.164","3.867","1.2","3.136953","0.624931"
"Healthcare","81.15021","0.0134000005","394859","304700","53.688","0.185","IDEXX Laboratories, Inc., together with its subsidiaries, develops, manufactures, and distributes products and services primarily for the companion animal veterinary, livestock and poultry, dairy, and water testing markets worldwide. The company operates through Companion Animal Group; Water Quality Products; Livestock, Poultry and Dairy; and Other segments. It provides point-of-care veterinary diagnostic products, including instruments, consumables, and rapid assay test kits; veterinary reference laboratory diagnostic and consulting services; practice management and diagnostic imaging systems and services for veterinarians; and health monitoring, biological materials testing, and laboratory animal diagnostic instruments and services for biomedical research community. The company also offers diagnostic and health-monitoring products for livestock, poultry, and dairy; products that test water for various microbiological contaminants; and point-of-care electrolytes and blood gas analyzers that are used in the human point-of-care medical diagnostics market. It markets its products through marketing, customer service, sales, and technical service groups, as well as through independent distributors and other resellers. IDEXX Laboratories, Inc. was incorporated in 1983 and is headquartered in Westbrook, Maine.","https://logo.clearbit.com/idexx.com","0.18591999","14.743365","","United States","Diagnostics & Research","36485066752","3.209","5.286","","133.67404","0.810259"
"Basic Materials","29.201286","0.14770001","1358651","1263750","14.449","-0.368","International Flavors & Fragrances Inc., together with its subsidiaries, manufactures flavors and fragrances for use in various consumer products. It operates through two segments, Taste and Scent. The Taste segment offers flavor compounds primarily to the food and beverage industries for use in consumer products, such as prepared foods, beverages, dairy, food, and sweet products. This segment also creates and manufactures a naturals-focused suite of flavor compounds, functional foods, and specialty fine ingredients to small, local, and regional customers. The Scent segment provides fragrance compounds, which include fine fragrances comprising perfumes and colognes, as well as consumer fragrances for personal care, household products, and beauty care; fragrance ingredients comprising synthetic and natural ingredients that could be combined with other materials to create fragrance and consumer compounds; and cosmetic active ingredients consisting of active and functional ingredients, botanicals, and delivery systems to support its customers' cosmetic and personal care product lines. This segment serves perfume and toiletries manufacturers in the cosmetics industry; and manufacturers of soaps, detergents, fabric care, household cleaners, and air fresheners in the household products industry. The company has operations in Europe, Africa, the Middle East, Greater Asia, North America, and Latin America. International Flavors & Fragrances Inc. was founded in 1833 and is headquartered in New York, New York.","https://logo.clearbit.com/iff.com","0.08269","2.2856352","0.8043","United States","Specialty Chemicals","11650350080","55.996","3.731","3.08","1.9456747","0.984004"
"Healthcare","68.23353","0.032899998","906343","792700","38.408","-0.841","Illumina, Inc. provides sequencing and array-based solutions for genetic and genomic analysis. Its products and services serve customers in a range of markets enabling the adoption of genomic solutions in research and clinical settings for applications in the life sciences, oncology, reproductive health, agriculture and other emerging segments. The company provides instruments and consumables used in genetic analysis; and genotyping and sequencing services, instrument service contracts, and development and licensing agreements. Its customers include genomic research centers, academic institutions, government laboratories, and hospitals, as well as pharmaceutical, biotechnology, commercial molecular diagnostic laboratories, and consumer genomics companies. The company markets and distributes its products directly to customers in North America, Europe, Latin America, and the Asia-Pacific region, as well as sells through life-science distributors in certain markets within Europe, the Asia-Pacific region, Latin America, the Middle East, and Africa. Illumina, Inc. was founded in 1998 and is headquartered in San Diego, California.","https://logo.clearbit.com/illumina.com","0.2068","13.935428","","United States","Diagnostics & Research","46697619456","31.253","4.676","","10.20894","0.892443"
"Technology","9.144647","0.0278","54161291","47552683","5.826","-0.286","Intel Corporation designs, manufactures, and sells essential technologies for the cloud, smart, and connected devices worldwide. The company operates through DCG, IOTG, Mobileye, NSG, PSG, CCG, and All Other segments. It offers platform products, such as central processing units and chipsets, and system-on-chip and multichip packages; and non-platform or adjacent products comprising accelerators, boards and systems, connectivity products, and memory and storage products. The company also provides Internet of things products, including high-performance compute solutions for targeted verticals and embedded applications; and computer vision and machine learning-based sensing, data analysis, localization, mapping, and driving policy technology. It serves original equipment manufacturers, original design manufacturers, and cloud service providers. The company has collaborations with UC San Francisco's Center for Digital Health Innovation, Fortanix, and Microsoft Azure to establish a computing platform with privacy-preserving analytics to accelerate the development and validation of clinical algorithms. Intel Corporation was founded in 1968 and is headquartered in Santa Clara, California.","https://logo.clearbit.com/intel.com","0.28102","2.4515169","0.2564","United States","Semiconductors","191458557952","18.193","5.109","1.32","2.5680206","0.718146"
"Consumer Cyclical","28.147919","0.0301","2394552","2433800","7.963","-0.089","International Paper Company operates as a paper and packaging company primarily in United States, the Middle East, Europe, Africa, Pacific Rim, Asia, and the Americas. It operates through three segments: Industrial Packaging, Global Cellulose Fibers, and Printing Papers. The Industrial Packaging segment manufactures containerboards, including linerboard, medium, whitetop, recycled linerboard, recycled medium, and saturating Kraft. The Global Cellulose Fibers segment provides fluff, market, and specialty pulps that are used in absorbent hygiene products, such as baby diapers, feminine care, adult incontinence and other non-woven products; tissue and paper products; and non-absorbent end applications, including textiles, filtration, construction material, paints and coatings, reinforced plastics and more. The Printing Papers segment produces printing and writing papers, such as uncoated papers for end-use applications comprising brochures, pamphlets, greeting cards, books, annual reports, and direct mail, as well as envelopes, tablets, business forms, and file folders. It sells its uncoated papers under the Hammermill, Springhill, Williamsburg, Postmark, Accent, Great White, Chamex, Ballet, Rey, Pol, and Svetocopy brands. The company sells its products directly to end users and converters, as well as through agents, resellers, and paper distributors. International Paper Company was founded in 1898 and is headquartered in Memphis, Tennessee.","https://logo.clearbit.com/internationalpaper.com","0.029790001","0.8364585","1.2655001","United States","Packaging & Containers","17803182080","17.952","1.609","2.05","2.5228388","1.178157"
"Communication Services","13.121548","0.038599998","5853169","5064116","9.415","0.689","The Interpublic Group of Companies, Inc. provides advertising and marketing services worldwide. The company operates through two segments, Integrated Agency Networks and Constituency Management Group. The company offers consumer advertising, digital marketing, communications planning and media buying, public relations, and specialized communications disciplines, as well as data management services. It also provides various diversified services, including meeting and event production, sports and entertainment marketing, corporate and brand identity, and strategic marketing consulting. The company was formerly known as McCann-Erickson Incorporated and changed its name to The Interpublic Group of Companies, Inc. in January 1961. The Interpublic Group of Companies, Inc. was founded in 1902 and is headquartered in New York, New York.","https://logo.clearbit.com/interpublic.com","0.069120005","0.90229815","0.6897","United States","Advertising Agencies","7410664960","6.986","1.448","1.02","2.7197251","1.000551"
"Healthcare","81.08567","0.018099999","513648","445150","61.044","-0.209","Intuitive Surgical, Inc., together with its subsidiaries, designs, manufactures, and markets da Vinci surgical systems, and related instruments and accessories in the United States and internationally. The company's da Vinci Surgical System include surgeon's consoles, patient-side carts, 3-D vision systems, da Vinci skills simulators, da Vinci Xi integrated table motions, and Firefly fluorescence imaging products that enable surgeons to perform various surgical procedures, including gynecologic, urologic, general, cardiothoracic, and head and neck surgical procedures. It also manufactures EndoWrist instruments, such as forceps, scissors, electrocautery tools, scalpels, and other surgical tools, which incorporate wrist joints for natural dexterity for various surgical procedures. In addition, the company offers EndoWrist Stapler, a wristed stapling instrument for resection, transection, and creation of anastomoses; and EndoWrist One Vessel Sealers that are wristed single-use instruments for bipolar coagulation and mechanical transection of vessels up to 7mm in diameter and tissue bundles that fit in the jaws of the instrument. Additionally, the company sells various accessories comprising sterile drapes for ensuring sterile field during surgery; and vision products that include replacement 3D stereo endoscopes, camera heads, light guides, and other items that facilitate use of the da Vinci Surgical System, as well as Ion endoluminal system for biopsies. Intuitive Surgical, Inc. was founded in 1995 and is headquartered in Sunnyvale, California.","https://logo.clearbit.com/intuitive.com","0.24451","19.427008","","United States","Medical Instruments & Supplies","83672121344","78.79","8.778","","9.033761","0.943739"
"Technology","46.82144","0.0137","337812","339533","21.6","-0.467","Gartner, Inc. operates as a research and advisory company. It operates through three segments: Research, Conferences, and Consulting. The Research segment offers objective insights and advice on the priorities of various leaders in a range of functional areas of the enterprise through reports, briefings, proprietary tools, access to research expert, peer networking services, and membership programs that enable clients to drive organizational performance; and research and analysis in various business functions, such as human resources, sales, legal, and finance. This segment delivers its research, primarily through a subscription service. The Conferences segment offers business professionals in an organization the opportunity to learn, share, and network various events. The Consulting segment offers market research, custom analysis, and on-the-ground support services. This segment also offers actionable solutions for IT-related priorities, including IT cost optimization, technology modernization, and IT sourcing optimization. The company has operations in the United States, Canada, Europe, the Middle East, Africa, and internationally. Gartner, Inc. was founded in 1979 and is headquartered in Stamford, Connecticut.","https://logo.clearbit.com/gartner.com","0.05702","2.6376224","","United States","Information Technology Services","11067518976","11.093","2.649","","11.180924","1.448979"
"Industrials","30.312359","0.0167","1266809","1025083","21.233","-0.118","Illinois Tool Works Inc. manufactures and sells industrial products and equipment worldwide. It operates through seven segments: Automotive OEM; Food Equipment; Test & Measurement and Electronics; Welding; Polymers & Fluids; Construction Products; and Specialty Products. The Automotive OEM segment offers plastic and metal components, fasteners, and assemblies for automobiles, light trucks, and other industrial uses. The Food Equipment segment provides warewashing, cooking, refrigeration, and food processing equipment; kitchen exhaust, ventilation, and pollution control systems; and food equipment maintenance and repair services. The Test & Measurement and Electronics segment produces equipment, consumables, and related software for testing and measuring of materials and structures, as well as equipment and consumables used in the production of electronic subassemblies and microelectronics. The Welding segment produces arc welding equipment; and metal arc welding consumables and related accessories. The Polymers & Fluids segment produces adhesives, sealants, lubrication and cutting fluids, and fluids and polymers for auto aftermarket maintenance and appearance. The Construction Products segment offers engineered fastening systems and solutions for the residential construction, renovation/remodel, and commercial construction markets. The Specialty Products segment offers beverage packaging equipment and consumables, product coding and marking equipment and consumables, and appliance components and fasteners. It serves the automotive OEM/tiers, commercial food equipment, construction, general industrial, and automotive aftermarket end markets. The company distributes its products directly to industrial manufacturers, as well as through independent distributors. Illinois Tool Works Inc. was founded in 1912 and is headquartered in Glenview, Illinois.","https://logo.clearbit.com/itw.com","0.16773","5.028974","0.66010004","United States","Specialty Industrial Machinery","63204147200","8.518","6.595","4.56","23.469126","1.162162"
"Industrials","27.352245","0.0137","891342","1132933","11.518","0.06","J.B. Hunt Transport Services, Inc., together with its subsidiaries, provides surface transportation and delivery services in the continental United States, Canada, and Mexico. It operates in four segments: Intermodal (JBI), Dedicated Contract Services (DCS), Integrated Capacity Solutions (ICS), and Truckload (JBT). The JBI segment offers intermodal freight solutions, including origin and destination pickup, and delivery services. It operates 96,743 pieces of company-owned trailing equipment; owns and maintains its own chassis fleet of 82,731 units; and manages a fleet of 4,989 company-owned tractors, 570 independent contractor trucks, and 6,376 company drivers. The DCS segment designs, develops, and executes supply-chain solutions that support various transportation networks. As of December 31, 2019, it operated 10,542 company-owned trucks, 505 customer-owned trucks, and 40 independent contractor trucks, as well as 20,860 owned pieces of trailing equipment and 7,258 customer-owned trailers. The ICS segment offers traditional freight brokerage and transportation logistics solutions; and flatbed, refrigerated, expedited, and less-than-truckload solutions, as well as various dry-van and intermodal solutions. It also provides an online multimodal marketplace; and single-source logistics management for customers that desire to outsource their transportation functions. This segment operates 37 remote sales offices or branches. The JBT segment offers full-load and dry-van freight services by utilizing tractors operating over roads and highways. As of December 31, 2019, it operated 845 company-owned tractors. The company also transports or arranges for the transportation of freight, including general merchandise, specialty consumer items, appliances, forest and paper products, food and beverages, building materials, soaps and cosmetics, automotive parts, agricultural products, electronics, and chemicals. J.B. Hunt Transport Services, Inc. was incorporated in 1961 and is headquartered in Lowell, Arkansas.","https://logo.clearbit.com/jbhunt.com","0.05313","1.4385939","0.2301","United States","Integrated Freight & Logistics","13449765888","23.538","4.653","1.08","5.4070015","0.995035"
"Industrials","40.953285","0.0134000005","3422309","4063133","16.789","","Johnson Controls International plc operates as a diversified technology and multi industrial company worldwide. The company operates through Building Solutions North America, Building Solutions EMEA/LA, Building Solutions EMEA/LA, and Global Products segments. The company designs, sells, installs, and services heating, ventilating, and air conditioning systems, controls systems, integrated electronic security systems, and integrated fire detection and suppression systems for commercial, industrial, retail, small business, institutional, and governmental customers; and energy efficiency solutions and technical services, including inspection, scheduled maintenance, and repair and replacement of mechanical and control systems to non-residential building and industrial applications. It also designs and produces heating and air conditioning for residential and commercial applications; and markets products and refrigeration systems to replacement and new construction market; and designs, manufactures, and sells fire protection and security products, including intrusion security, anti-theft devices, and access control and video management systems for commercial, industrial, retail, residential, small business, institutional, and governmental customers. The company was formerly known as Johnson Controls, Inc. and changed its name to Johnson Controls International plc in September 2016. Johnson Controls International plc was founded in 1885 and is headquartered in Cork, Ireland.","https://logo.clearbit.com/johnsoncontrols.com","0.03543","1.4120378","1.0722001","Ireland","Engineering & Construction","31964301312","23.93","1.049","1.04","1.795236","1.215113"
"Technology","21.397848","0.0624","3189947","2844616","10.419","0.325","Juniper Networks, Inc. designs, develops, and sells network products and services worldwide. The company offers routing products, such as ACX series universal access routers to deploy high-bandwidth services; MX series Ethernet routers that function as a universal edge platform; PTX series packet transport routers; cloud customer premises equipment; and NorthStar controllers. It also provides switching products, including EX series Ethernet switches to address the access, aggregation, and core layer switching requirements of micro branch, branch office, and campus environments; QFX series of core, spine, and top-of-rack data center switches; and mist access points, which provide wireless access and performance. In addition, the company offers security products comprising SRX series services gateways for the data center; Branch SRX family provides an integrated firewall and next-generation firewall; virtual firewall that delivers various features of physical firewalls; and advanced malware protection, a cloud-based service and Juniper ATP. Further, it offers Junos OS, a network operating system; Contrail networking and cloud platform, which provides an open-source and standards-based platform for SDN and NFV; Contrail Insights, an optimization and management software platform for public, private, and hybrid clouds; and Marvis Actions and AI-driven Virtual Network Assistant, which identifies the root cause of issues across the information technology, domains and automatically resolves issues. Additionally, the company provides technical support, maintenance, and professional services, as well as education and training programs. It sells its products through direct sales, distributors, value-added resellers, and original equipment manufacturer partners to end-users in the cloud, service provider, and enterprise markets. The company was founded in 1996 and is headquartered in Sunnyvale, California.","https://logo.clearbit.com/juniper.net","0.07893","1.6409463","0.7723","United States","Communication Equipment","7262007808","13.459","1.023","0.8","1.626421","0.97904"
"Consumer Defensive","20.771418","0.0396","1384033","1331933","14.065","0.227","Kellogg Company, together with its subsidiaries, manufactures and markets ready-to-eat cereal and convenience foods. The company operates through four segments: North America, Europe, Latin America, and Asia Middle East Africa. Its principal products include crackers, crisps, savory snacks, toaster pastries, cereal bars, granola bars and bites, ready-to-eat cereals, frozen waffles, veggie foods, and noodles. The company offers its products under the Kellogg's, Cheez-It, Pringles, Austin, Parati, RXBAR, Kashi, Bear Naked, Eggo, Morningstar Farms, Choco Krispies, Crunchy Nut, Nutri-Grain, Special K, Squares, Zucaritas, Sucrilhos, Pop-Tarts, K-Time, Split Stix, Be Natural, LCMs, Coco Pops, Rice Krispies Squares, Kashi Go, Vector, and Gardenburger brand names. It sells its products to retailers through direct sales forces, as well as brokers and distributors. Kellogg Company was founded in 1906 and is headquartered in Battle Creek, Michigan.","https://logo.clearbit.com/kelloggcompany.com","0.08091","1.672341","0.72150004","United States","Packaged Foods","22529777664","8.369","3.163","2.28","7.8503995","0.643132"
"Technology","25.836365","0.0183","942634","813050","15.454","0.888","KLA Corporation designs, manufactures, and markets process control and yield management solutions for the semiconductor and related nanoelectronics industries worldwide. The company offers chip and wafer manufacturing products, including defect inspection and review systems, metrology solutions, in situ process monitoring products, computational lithography software, and data analytics systems for chip manufacturers to manage yield throughout the semiconductor fabrication process. It also provides reticle manufacturing products, such as reticle inspection, metrology, and data analytics systems for mask shops; and packaging manufacturing products comprising packaging process control on wafer, automated optical inspection, data analytics, and packaging process control after singulation. In addition, the company offers compound semiconductor, power device, light emitting diode, and microelectromechanical system manufacturing products; data storage media/head manufacturing products; general purpose/lab applications; and previous-generation KLA systems. Further, it provides wafer processing solutions; printed circuit boards, and display and inspection components; products for the deposition of thin film coating of materials on crystalline silicon photovoltaic wafers; and other services. The company offers its products and services for use by various bare wafer, integrated circuit, reticle, and hard disk drive manufacturers. The company was formerly known as KLA-Tencor Corporation and changed its name to KLA Corporation in July 2019. KLA Corporation was founded in 1975 and is headquartered in Milpitas, California.","https://logo.clearbit.com/kla.com","0.20955999","5.314421","0.4286","United States","Semiconductor Equipment & Materials","30857783296","17.145","7.7","3.6","11.603383","1.308328"
"Consumer Defensive","19.696619","0.0227","2203379","2697683","12.544","-0.297","Kimberly-Clark Corporation, together with its subsidiaries, manufactures and markets personal care and consumer tissue products worldwide. It operates through three segments: Personal Care, Consumer Tissue, and K-C Professional. The Personal Care segment offers disposable diapers, training and youth pants, swimpants, baby wipes, feminine and incontinence care products, and other related products under the Huggies, Pull-Ups, Little Swimmers, GoodNites, DryNites, Kotex, U by Kotex, Intimus, Depend, Plenitud, Poise, and other brand names. The Consumer Tissue segment provides facial and bathroom tissues, paper towels, napkins, and related products under the Kleenex, Scott, Cottonelle, Viva, Andrex, Scottex, Neve, and other brand names. The K-C Professional segment offers wipers, tissues, towels, apparel, soaps, and sanitizers under the Kleenex, Scott, WypAll, Kimtech, and KleenGuard brands. The company sells household use products directly to supermarkets, mass merchandisers, drugstores, warehouse clubs, variety and department stores, and other retail outlets, as well as through other distributors and e-commerce; and away-from-home use products directly to manufacturing, lodging, office building, food service, and public facilities, as well as through distributors. Kimberly-Clark Corporation was founded in 1872 and is headquartered in Dallas, Texas.","https://logo.clearbit.com/kimberly-clark.com","0.12495","2.4436483","0.6154","United States","Household & Personal Products","46153187328","0.984","6.889","4.28","137.89635","0.515719"
"Energy","252.65308","0.01","15874637","16250433","10.913","-0.101","Kinder Morgan, Inc. operates as an energy infrastructure company in North America. The company operates through Natural Gas Pipelines, Products Pipelines, Terminals, and CO2 segments. The Natural Gas Pipelines segment owns and operates interstate and intrastate natural gas pipeline and storage systems; natural gas gathering systems and natural gas processing and treating facilities; natural gas liquids fractionation facilities and transportation systems; and liquefied natural gas liquefaction and storage facilities. The Products Pipelines segment owns and operates refined petroleum products, and crude oil and condensate pipelines; and associated product terminals and petroleum pipeline transmix facilities. The Terminals segment owns and/or operates liquids and bulk terminals that stores and handles various commodities, including gasoline, diesel fuel, chemicals, ethanol, metals, and petroleum coke; and owns tankers. The CO2 segment produces, transports, and markets CO2 to recovery and production crude oil from mature oil fields; and owns interests in/or operates oil fields and gasoline processing plants, as well as operates a crude oil pipeline system in West Texas. It owns and operates approximately 83,000 miles of pipelines and 147 terminals. The company was formerly known as Kinder Morgan Holdco LLC and changed its name to Kinder Morgan, Inc. in February 2011. Kinder Morgan, Inc. was founded in 1936 and is headquartered in Houston, Texas.","https://logo.clearbit.com/kindermorgan.com","0.01022","2.3478026","20.5","United States","Oil & Gas Midstream","28025720832","13.941","0.049","1.05","0.88802814","0.934914"
"Consumer Cyclical","21.292566","0.0583","1291903","1110500","25.28","0.27","CarMax, Inc., through its subsidiaries, operates as a retailer of used vehicles in the United States. The company operates in two segments, CarMax Sales Operations and CarMax Auto Finance. It offers customers a range of makes and models of used vehicles, including domestic, imported, and luxury vehicles; vehicles that do not meet its retail standards to licensed dealers through on-site wholesale auctions; and extended protection plans to customers at the time of sale. The company also provides reconditioning and vehicle repair services; and financing alternatives for retail customers across a range of credit spectrum through its CarMax Auto Finance and arrangements with various financial institutions. As of February 29, 2020, it operated approximately 216 stores and 2 new car franchises. CarMax, Inc. was founded in 1993 and is based in Richmond, Virginia.","https://logo.clearbit.com/carmax.com","0.03541","0.74797654","","United States","Auto & Truck Dealerships","14569285632","24.26","4.17","","3.659934","1.773855"
